word,small_class,cilin_code,relation,line_id,small_label
主星,Bd01,Bd01B17,#,7480,Bd01 · 自然界
二十八宿,Bd01,Bd01B02,=,7465,Bd01 · 自然界
五星,Bd01,Bd01B17,#,7480,Bd01 · 自然界
人造卫星,Bd01,Bd01B15,@,7478,Bd01 · 自然界
人造行星,Bd01,Bd01B16,#,7479,Bd01 · 自然界
仙后座,Bd01,Bd01B19,#,7482,Bd01 · 自然界
伴星,Bd01,Bd01B17,#,7480,Bd01 · 自然界
六合,Bd01,Bd01A01,=,7463,Bd01 · 自然界
冥王星,Bd01,Bd01B17,#,7480,Bd01 · 自然界
北斗,Bd01,Bd01B10,=,7473,Bd01 · 自然界
北斗星,Bd01,Bd01B10,=,7473,Bd01 · 自然界
北极星,Bd01,Bd01B11,=,7474,Bd01 · 自然界
北辰,Bd01,Bd01B11,=,7474,Bd01 · 自然界
卫星,Bd01,Bd01B16,#,7479,Bd01 · 自然界
变星,Bd01,Bd01B17,#,7480,Bd01 · 自然界
同步卫星,Bd01,Bd01B16,#,7479,Bd01 · 自然界
启明,Bd01,Bd01B04,=,7467,Bd01 · 自然界
启明星,Bd01,Bd01B04,=,7467,Bd01 · 自然界
哈雷彗星,Bd01,Bd01B12,=,7475,Bd01 · 自然界
土星,Bd01,Bd01B17,#,7480,Bd01 · 自然界
土星,Bd01,Bd01B07,=,7470,Bd01 · 自然界
坍缩星,Bd01,Bd01B17,#,7480,Bd01 · 自然界
夜明星,Bd01,Bd01B17,#,7480,Bd01 · 自然界
大熊座,Bd01,Bd01B19,#,7482,Bd01 · 自然界
大犬座,Bd01,Bd01B19,#,7482,Bd01 · 自然界
大自然,Bd01,Bd01A01,=,7463,Bd01 · 自然界
天体,Bd01,Bd01A01,=,7463,Bd01 · 自然界
天南星,Bd01,Bd01B17,#,7480,Bd01 · 自然界
天狼星,Bd01,Bd01B17,#,7480,Bd01 · 自然界
天王星,Bd01,Bd01B17,#,7480,Bd01 · 自然界
天琴座,Bd01,Bd01B19,#,7482,Bd01 · 自然界
天罡,Bd01,Bd01B17,#,7480,Bd01 · 自然界
天罡星,Bd01,Bd01B10,=,7473,Bd01 · 自然界
天蝎座,Bd01,Bd01B19,#,7482,Bd01 · 自然界
太白星,Bd01,Bd01B04,=,7467,Bd01 · 自然界
太阳系,Bd01,Bd01B20,#,7483,Bd01 · 自然界
宇宙,Bd01,Bd01A01,=,7463,Bd01 · 自然界
宇宙空间,Bd01,Bd01A01,=,7463,Bd01 · 自然界
宏观世界,Bd01,Bd01A01,=,7463,Bd01 · 自然界
客星,Bd01,Bd01B14,=,7477,Bd01 · 自然界
小行星,Bd01,Bd01B16,#,7479,Bd01 · 自然界
岁星,Bd01,Bd01B06,=,7469,Bd01 · 自然界
彗星,Bd01,Bd01B12,=,7475,Bd01 · 自然界
恒星,Bd01,Bd01B16,#,7479,Bd01 · 自然界
扫帚星,Bd01,Bd01B12,=,7475,Bd01 · 自然界
旋涡星云,Bd01,Bd01B18,#,7481,Bd01 · 自然界
日月星辰,Bd01,Bd01B01,=,7464,Bd01 · 自然界
昏星,Bd01,Bd01B04,=,7467,Bd01 · 自然界
星云,Bd01,Bd01B18,#,7481,Bd01 · 自然界
星体,Bd01,Bd01B01,=,7464,Bd01 · 自然界
星体,Bd01,Bd01A01,=,7463,Bd01 · 自然界
星团,Bd01,Bd01B18,#,7481,Bd01 · 自然界
星宿,Bd01,Bd01B02,=,7465,Bd01 · 自然界
星座,Bd01,Bd01B02,=,7465,Bd01 · 自然界
星斗,Bd01,Bd01B01,=,7464,Bd01 · 自然界
星河,Bd01,Bd01B03,=,7466,Bd01 · 自然界
星球,Bd01,Bd01B01,=,7464,Bd01 · 自然界
星辰,Bd01,Bd01B01,=,7464,Bd01 · 自然界
星际,Bd01,Bd01B18,#,7481,Bd01 · 自然界
晨星,Bd01,Bd01B04,=,7467,Bd01 · 自然界
木星,Bd01,Bd01B06,=,7469,Bd01 · 自然界
气象卫星,Bd01,Bd01B16,#,7479,Bd01 · 自然界
水星,Bd01,Bd01B17,#,7480,Bd01 · 自然界
河汉,Bd01,Bd01B03,=,7466,Bd01 · 自然界
海星,Bd01,Bd01B17,#,7480,Bd01 · 自然界
火星,Bd01,Bd01B17,#,7480,Bd01 · 自然界
火星,Bd01,Bd01B05,=,7468,Bd01 · 自然界
牛郎星,Bd01,Bd01B09,=,7472,Bd01 · 自然界
牵牛星,Bd01,Bd01B09,=,7472,Bd01 · 自然界
猎户座,Bd01,Bd01B19,#,7482,Bd01 · 自然界
白矮星,Bd01,Bd01B17,#,7480,Bd01 · 自然界
白虎星,Bd01,Bd01B12,=,7475,Bd01 · 自然界
穹庐,Bd01,Bd01A01,=,7463,Bd01 · 自然界
类地行星,Bd01,Bd01B16,#,7479,Bd01 · 自然界
类新星,Bd01,Bd01B17,#,7480,Bd01 · 自然界
类星体,Bd01,Bd01B18,#,7481,Bd01 · 自然界
类木行星,Bd01,Bd01B16,#,7479,Bd01 · 自然界
繁星,Bd01,Bd01B01,=,7464,Bd01 · 自然界
红星,Bd01,Bd01B17,#,7480,Bd01 · 自然界
织女,Bd01,Bd01B08,=,7471,Bd01 · 自然界
织女星,Bd01,Bd01B08,=,7471,Bd01 · 自然界
群星,Bd01,Bd01B18,#,7481,Bd01 · 自然界
老人星,Bd01,Bd01B13,=,7476,Bd01 · 自然界
脉冲星,Bd01,Bd01B17,#,7480,Bd01 · 自然界
自然界,Bd01,Bd01A01,=,7463,Bd01 · 自然界
荧惑,Bd01,Bd01B05,=,7468,Bd01 · 自然界
行星,Bd01,Bd01B16,#,7479,Bd01 · 自然界
褐矮星,Bd01,Bd01B17,#,7480,Bd01 · 自然界
通讯卫星,Bd01,Bd01B16,#,7479,Bd01 · 自然界
金星,Bd01,Bd01B17,#,7480,Bd01 · 自然界
金星,Bd01,Bd01B04,=,7467,Bd01 · 自然界
铱星,Bd01,Bd01B17,#,7480,Bd01 · 自然界
银汉,Bd01,Bd01B03,=,7466,Bd01 · 自然界
银河,Bd01,Bd01B03,=,7466,Bd01 · 自然界
银河系,Bd01,Bd01B20,#,7483,Bd01 · 自然界
镇星,Bd01,Bd01B07,=,7470,Bd01 · 自然界
长庚,Bd01,Bd01B04,=,7467,Bd01 · 自然界
陨星,Bd01,Bd01B14,=,7477,Bd01 · 自然界
陨石,Bd01,Bd01B14,=,7477,Bd01 · 自然界
陨铁,Bd01,Bd01B14,=,7477,Bd01 · 自然界
万花山,Be04,Be04A16,#,7551,Be04 · 支脉
三清山,Be04,Be04A16,#,7551,Be04 · 支脉
上坡,Be04,Be04B05,#,7556,Be04 · 支脉
上方山,Be04,Be04A16,#,7551,Be04 · 支脉
丘陵,Be04,Be04A06,=,7541,Be04 · 支脉
乌蒙山,Be04,Be04A16,#,7551,Be04 · 支脉
乐山,Be04,Be04A16,#,7551,Be04 · 支脉
云崖,Be04,Be04A11,=,7546,Be04 · 支脉
