word,small_class,cilin_code,relation,line_id,small_label,x,y,z
主星,Bd01,Bd01B17,#,7480,Bd01 · 自然界,-7.775575,-4.6486416,15.391788
二十八宿,Bd01,Bd01B02,=,7465,Bd01 · 自然界,-4.837847,5.6128902,5.598123
五星,Bd01,Bd01B17,#,7480,Bd01 · 自然界,-5.1128592,-6.1597495,12.310948
人造卫星,Bd01,Bd01B15,@,7478,Bd01 · 自然界,-5.0315967,-7.1472764,18.997087
人造行星,Bd01,Bd01B16,#,7479,Bd01 · 自然界,-5.0114746,-6.484147,19.491232
仙后座,Bd01,Bd01B19,#,7482,Bd01 · 自然界,-10.42132,0.779846,15.5585985
伴星,Bd01,Bd01B17,#,7480,Bd01 · 自然界,-6.2275367,-3.9622056,17.347868
六合,Bd01,Bd01A01,=,7463,Bd01 · 自然界,-4.459194,6.1867924,2.603709
冥王星,Bd01,Bd01B17,#,7480,Bd01 · 自然界,-10.349447,-2.1034548,16.249292
北斗,Bd01,Bd01B10,=,7473,Bd01 · 自然界,-9.696285,1.1058003,8.006181
北斗星,Bd01,Bd01B10,=,7473,Bd01 · 自然界,-8.168332,-0.8983396,15.003804
北极星,Bd01,Bd01B11,=,7474,Bd01 · 自然界,-7.58015,-0.75359887,15.204304
北辰,Bd01,Bd01B11,=,7474,Bd01 · 自然界,-8.909091,1.0852011,6.283803
卫星,Bd01,Bd01B16,#,7479,Bd01 · 自然界,-7.901831,-4.168429,19.580606
变星,Bd01,Bd01B17,#,7480,Bd01 · 自然界,-5.7504044,-2.9070618,18.728714
同步卫星,Bd01,Bd01B16,#,7479,Bd01 · 自然界,-4.9455137,-7.192604,18.108335
启明,Bd01,Bd01B04,=,7467,Bd01 · 自然界,-3.9925158,14.043487,0.30497548
启明星,Bd01,Bd01B04,=,7467,Bd01 · 自然界,-6.7374015,-3.5579677,11.538325
哈雷彗星,Bd01,Bd01B12,=,7475,Bd01 · 自然界,-5.824949,-6.33091,17.018951
土星,Bd01,Bd01B17,#,7480,Bd01 · 自然界,-11.165027,-3.8603997,18.84847
土星,Bd01,Bd01B07,=,7470,Bd01 · 自然界,-10.587534,-4.083952,18.66994
坍缩星,Bd01,Bd01B17,#,7480,Bd01 · 自然界,-4.7729855,-5.586151,17.30409
夜明星,Bd01,Bd01B17,#,7480,Bd01 · 自然界,-7.3018694,-3.4740896,12.6844635
大熊座,Bd01,Bd01B19,#,7482,Bd01 · 自然界,-11.542428,0.9942348,15.184655
大犬座,Bd01,Bd01B19,#,7482,Bd01 · 自然界,-11.769756,0.70731896,14.614803
大自然,Bd01,Bd01A01,=,7463,Bd01 · 自然界,1.9925624,-1.7248697,14.177319
天体,Bd01,Bd01A01,=,7463,Bd01 · 自然界,-3.4187942,-1.9518399,20.22366
天南星,Bd01,Bd01B17,#,7480,Bd01 · 自然界,-8.043174,-1.870531,13.567029
天狼星,Bd01,Bd01B17,#,7480,Bd01 · 自然界,-9.300589,-1.8126923,15.498623
天王星,Bd01,Bd01B17,#,7480,Bd01 · 自然界,-9.763183,-1.6347765,16.065443
天琴座,Bd01,Bd01B19,#,7482,Bd01 · 自然界,-10.861726,-0.36661607,15.747382
天罡,Bd01,Bd01B17,#,7480,Bd01 · 自然界,-9.183156,-0.39909214,11.978952
天罡星,Bd01,Bd01B10,=,7473,Bd01 · 自然界,-9.151095,-1.0608654,13.000545
天蝎座,Bd01,Bd01B19,#,7482,Bd01 · 自然界,-11.831699,-0.8652185,15.586227
太白星,Bd01,Bd01B04,=,7467,Bd01 · 自然界,-8.271516,-2.3129728,14.140082
太阳系,Bd01,Bd01B20,#,7483,Bd01 · 自然界,-7.0834775,-0.4629338,18.295069
宇宙,Bd01,Bd01A01,=,7463,Bd01 · 自然界,-1.0967556,-3.0166218,15.69061
宇宙空间,Bd01,Bd01A01,=,7463,Bd01 · 自然界,-0.7150837,-3.3017247,15.775985
宏观世界,Bd01,Bd01A01,=,7463,Bd01 · 自然界,2.9234474,-2.2105696,15.190263
客星,Bd01,Bd01B14,=,7477,Bd01 · 自然界,-7.184243,-5.152558,14.178784
小行星,Bd01,Bd01B16,#,7479,Bd01 · 自然界,-4.847066,-3.209811,21.542301
岁星,Bd01,Bd01B06,=,7469,Bd01 · 自然界,-3.5183606,-1.9064837,11.612519
彗星,Bd01,Bd01B12,=,7475,Bd01 · 自然界,-7.559632,-3.43759,18.439386
恒星,Bd01,Bd01B16,#,7479,Bd01 · 自然界,-6.8926835,-2.7486415,19.352777
扫帚星,Bd01,Bd01B12,=,7475,Bd01 · 自然界,-9.7181635,-4.3109527,13.242948
旋涡星云,Bd01,Bd01B18,#,7481,Bd01 · 自然界,-4.3502517,-4.2266226,17.539427
日月星辰,Bd01,Bd01B01,=,7464,Bd01 · 自然界,-4.0453925,0.6373333,14.326588
昏星,Bd01,Bd01B04,=,7467,Bd01 · 自然界,-7.0107827,-4.2200174,13.775995
星云,Bd01,Bd01B18,#,7481,Bd01 · 自然界,-4.80929,-2.3234155,17.209438
星体,Bd01,Bd01B01,=,7464,Bd01 · 自然界,-3.6064558,-2.0255504,19.243267
星体,Bd01,Bd01A01,=,7463,Bd01 · 自然界,-3.9018393,-1.7880493,19.360638
星团,Bd01,Bd01B18,#,7481,Bd01 · 自然界,-3.7107515,-1.7135633,17.402359
星宿,Bd01,Bd01B02,=,7465,Bd01 · 自然界,-4.5938244,-1.0555844,17.054342
星座,Bd01,Bd01B02,=,7465,Bd01 · 自然界,-3.7700524,0.065116175,17.27192
星斗,Bd01,Bd01B01,=,7464,Bd01 · 自然界,-4.412562,-0.92685044,15.869389
星河,Bd01,Bd01B03,=,7466,Bd01 · 自然界,-4.7887545,-2.3995721,14.991341
星球,Bd01,Bd01B01,=,7464,Bd01 · 自然界,-3.3985171,-2.7158825,15.664807
星辰,Bd01,Bd01B01,=,7464,Bd01 · 自然界,-4.239337,-0.28721672,15.426906
星际,Bd01,Bd01B18,#,7481,Bd01 · 自然界,-3.1101334,-2.3533807,15.686041
晨星,Bd01,Bd01B04,=,7467,Bd01 · 自然界,-5.592739,-3.9388833,12.875548
木星,Bd01,Bd01B06,=,7469,Bd01 · 自然界,-10.501527,-3.1089911,18.17799
气象卫星,Bd01,Bd01B16,#,7479,Bd01 · 自然界,-5.523214,-8.056575,17.978558
水星,Bd01,Bd01B17,#,7480,Bd01 · 自然界,-11.390121,-2.3929508,18.79945
河汉,Bd01,Bd01B03,=,7466,Bd01 · 自然界,-5.954685,0.7853671,6.0298295
海星,Bd01,Bd01B17,#,7480,Bd01 · 自然界,-7.184584,-2.9963527,16.659643
火星,Bd01,Bd01B17,#,7480,Bd01 · 自然界,-10.03611,-3.4008555,19.782127
火星,Bd01,Bd01B05,=,7468,Bd01 · 自然界,-10.466321,-3.124906,19.922775
牛郎星,Bd01,Bd01B09,=,7472,Bd01 · 自然界,-9.732835,-3.13195,13.557811
牵牛星,Bd01,Bd01B09,=,7472,Bd01 · 自然界,-11.038352,-2.4413435,14.288433
猎户座,Bd01,Bd01B19,#,7482,Bd01 · 自然界,-10.847192,0.3035022,14.698913
白矮星,Bd01,Bd01B17,#,7480,Bd01 · 自然界,-6.032086,-4.524309,19.194576
白虎星,Bd01,Bd01B12,=,7475,Bd01 · 自然界,-10.185667,-1.8407689,14.458331
穹庐,Bd01,Bd01A01,=,7463,Bd01 · 自然界,-12.327761,6.1399407,3.9780736
类地行星,Bd01,Bd01B16,#,7479,Bd01 · 自然界,-4.62233,-4.7882123,20.531305
类新星,Bd01,Bd01B17,#,7480,Bd01 · 自然界,-4.3396463,-4.820287,19.130554
类星体,Bd01,Bd01B18,#,7481,Bd01 · 自然界,-4.437093,-3.756285,20.065527
类木行星,Bd01,Bd01B16,#,7479,Bd01 · 自然界,-5.312653,-5.054052,20.57686
繁星,Bd01,Bd01B01,=,7464,Bd01 · 自然界,-5.224259,-4.937646,13.785978
红星,Bd01,Bd01B17,#,7480,Bd01 · 自然界,-5.458079,-4.9396114,12.659279
织女,Bd01,Bd01B08,=,7471,Bd01 · 自然界,-8.760706,1.5016037,-3.5623927
织女星,Bd01,Bd01B08,=,7471,Bd01 · 自然界,-10.285207,-2.8148165,13.098533
群星,Bd01,Bd01B18,#,7481,Bd01 · 自然界,-5.875729,-3.4459896,13.687952
老人星,Bd01,Bd01B13,=,7476,Bd01 · 自然界,-8.20588,-3.701859,12.438008
脉冲星,Bd01,Bd01B17,#,7480,Bd01 · 自然界,-5.590473,-4.693365,16.57721
自然界,Bd01,Bd01A01,=,7463,Bd01 · 自然界,2.0631256,-2.1784623,14.167381
荧惑,Bd01,Bd01B05,=,7468,Bd01 · 自然界,-4.721505,6.515474,-3.9724157
行星,Bd01,Bd01B16,#,7479,Bd01 · 自然界,-5.593774,-2.4981444,20.708351
褐矮星,Bd01,Bd01B17,#,7480,Bd01 · 自然界,-5.574398,-4.4054065,18.977692
通讯卫星,Bd01,Bd01B16,#,7479,Bd01 · 自然界,-4.4487343,-8.323736,17.969524
金星,Bd01,Bd01B17,#,7480,Bd01 · 自然界,-9.73362,-1.9283144,18.649273
金星,Bd01,Bd01B04,=,7467,Bd01 · 自然界,-9.73362,-1.9283144,18.649273
铱星,Bd01,Bd01B17,#,7480,Bd01 · 自然界,-7.2289844,-4.1470976,16.475546
银汉,Bd01,Bd01B03,=,7466,Bd01 · 自然界,-6.187482,0.79616743,6.0338445
银河,Bd01,Bd01B03,=,7466,Bd01 · 自然界,-5.883236,-1.9805282,15.61111
